Notes,County,County Code,Year,Year Code,Month,Month Code,MCD_Drug_Cause,MCD - Drug/Alcohol Induced Cause Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Month_Date
,"Jackson County, MO",29095.0,2019,2019.0,4,2019/04,All other non-drug and non-alcohol causes,O9,524.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-04-01
,"Jackson County, MO",29095.0,2019,2019.0,5,2019/05,All other drug-induced causes,D9,75.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-05-01
,"Jackson County, MO",29095.0,2019,2019.0,5,2019/05,All other alcohol-induced causes,A9,12.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-05-01
,"Jackson County, MO",29095.0,2019,2019.0,5,2019/05,All other non-drug and non-alcohol causes,O9,526.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-05-01
,"Jackson County, MO",29095.0,2019,2019.0,6,2019/06,All other drug-induced causes,D9,80.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-06-01
,"Jackson County, MO",29095.0,2019,2019.0,6,2019/06,All other alcohol-induced causes,A9,16.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-06-01
,"Jackson County, MO",29095.0,2019,2019.0,6,2019/06,All other non-drug and non-alcohol causes,O9,490.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-06-01
,"Jackson County, MO",29095.0,2019,2019.0,7,2019/07,All other drug-induced causes,D9,66.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-07-01
,"Jackson County, MO",29095.0,2019,2019.0,7,2019/07,All other alcohol-induced causes,A9,11.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-07-01
,"Jackson County, MO",29095.0,2019,2019.0,7,2019/07,All other non-drug and non-alcohol causes,O9,527.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-07-01
