"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	"MCD - Drug/Alcohol Induced Cause"	"MCD - Drug/Alcohol Induced Cause Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval
	"Jackson County, MO"	"29095"	"2019"	"2019"	"Aug., 2019"	"2019/08"	"All other drug-induced causes"	"D9"	79	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2019"	"2019"	"Aug., 2019"	"2019/08"	"All other non-drug and non-alcohol causes"	"O9"	510	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2019"	"2019"	"Sep., 2019"	"2019/09"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2019"	"2019"	"Sep., 2019"	"2019/09"	"All other drug-induced causes"	"D9"	88	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2019"	"2019"	"Sep., 2019"	"2019/09"	"All other alcohol-induced causes"	"A9"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2019"	"2019"	"Sep., 2019"	"2019/09"	"All other non-drug and non-alcohol causes"	"O9"	506	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2019"	"2019"	"Oct., 2019"	"2019/10"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2019"	"2019"	"Oct., 2019"	"2019/10"	"All other drug-induced causes"	"D9"	73	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2019"	"2019"	"Oct., 2019"	"2019/10"	"All other alcohol-induced causes"	"A9"	15	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2019"	"2019"	"Oct., 2019"	"2019/10"	"All other non-drug and non-alcohol causes"	"O9"	503	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2019"	"2019"	"Nov., 2019"	"2019/11"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	15	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2019"	"2019"	"Nov., 2019"	"2019/11"	"All other drug-induced causes"	"D9"	93	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2019"	"2019"	"Nov., 2019"	"2019/11"	"All other alcohol-induced causes"	"A9"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2019"	"2019"	"Nov., 2019"	"2019/11"	"All other non-drug and non-alcohol causes"	"O9"	600	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2019"	"2019"	"Dec., 2019"	"2019/12"	"All other drug-induced causes"	"D9"	87	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2019"	"2019"	"Dec., 2019"	"2019/12"	"All other alcohol-induced causes"	"A9"	18	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2019"	"2019"	"Dec., 2019"	"2019/12"	"All other non-drug and non-alcohol causes"	"O9"	578	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2020"	"2020"	"Jan., 2020"	"2020/01"	"All other drug-induced causes"	"D9"	96	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2020"	"2020"	"Jan., 2020"	"2020/01"	"All other alcohol-induced causes"	"A9"	19	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2020"	"2020"	"Jan., 2020"	"2020/01"	"All other non-drug and non-alcohol causes"	"O9"	624	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2020"	"2020"	"Feb., 2020"	"2020/02"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	16	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2020"	"2020"	"Feb., 2020"	"2020/02"	"All other drug-induced causes"	"D9"	89	Not Applicable	Not Applicable	Not Applicable	Not Applicable
